Address,Detail_URL,Property_Images,ID,Monthly Rent,Move In Date,Move Out Date,Lease Term,Short Lease Term,Sublease Permitted,Security Deposit,Property Owner,Property Type,"Location
                                            Sector",Level,City,Bedrooms,Bathrooms,Max Occupancy,Wheel Chair Access,Basement,Laundry,Parking,Number of Parking Spaces,Off-street Parking,Off-street Monthly,Off-street Yearly,On-street Parking,On-street Permit Required,Garage Parking,Garage Monthly,Garage Yearly,Furnished,Fireplace,Air Conditioning,Dishwasher,Stove,Refrigerator,Security System,Backyard,Deck Or Porch,Other Amenities,Pet Deposit,Additional Pet Rent,Additional Dog Rent,Additional Cat Rent,Pets Allowed,Dogs Allowed,Cats Allowed,Pet Deposit Refundable,Water Included,Electric Included,Gas Included,Name,Phone
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=14404&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/1-83-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2-67-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/3-72-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/4-74-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/5-65-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/6-68-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/7-62-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/8-51-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/9-59-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/10-58-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/11-58-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/12-58-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/13-56-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/14-56-big.jpg']",00003844,"$599.00 - $2,995.00",8/15/2026,07/31/2027,12 months,No,Yes,$One Month's Rent,Venice Properties,House,University District: Central,Above Ground,"Columbus, OH",5,"2 full, 0 half",6,No,Yes,Laundry Hookup,Yes,4,Yes,n/a,$$200,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"**To view a virtual tour of this home please visit https://youriguide.com/1641N4th

? WHY THIS HOME STANDS OUT:
? Prime location between 12th & 13th Ave – walk to class, bars, and campus hotspots
? Spacious 5 bedrooms + 2 full bathrooms
? Huge living room – perfect for hanging out or hosting
? Off-street parking for up to 5 cars (rare near campus!)

??? MODERN KITCHEN UPGRADES:
• Granite countertops
• Custom glass tile backsplash
• Oak cabinetry + tile flooring
• Full appliance package (fridge, stove, dishwasher, disposal)

?? UPDATED BATHROOMS:
• Stylish tile floors & custom shower surrounds
• Glass block window + pedestal sink (1st floor)
• Updated vanity (2nd floor)

?? BONUS FEATURES YOU’LL LOVE:
• Central A/C ??
• In-unit washer & dryer (FREE)
• Massive bedrooms
• Completely updated electrical system
• 1 block from OSU Police Substation + CABS/COTA bus stop

? Homes like this don’t last—especially the LAST one available for Fall 2026. Lock in your group housing before it’s gone!
?? Message now to schedule a showing or secure your spot!

To view a virtual tour of this home please visit https://youtu.be/AbUpnazyqeI",$0,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
"P.O. Box 20467Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=20451&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/thumbnail-img-2660-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-5406-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8358-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8359-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/a-15th-169-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/100-3br-floorplan-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/100-brown-kitchen-big.jpg']",00004FE3,"$600.00 - $1,800.00",08-01-2026,07-30-2027,12 months,No,No,$1800,S&G Properties,Apartment,University District: Central,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the building,Yes,27,Yes,n/a,n/a,Yes,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"www.100chit.com video, floorplan
Perfect Campus Location.  New GRANITE Kitchens Large 3 Bedroom apartment, great family room space, big bedrooms & double closets.  Central air conditioning, GRANITE Kitchens, Dishwasher, Microwave.  Call for tour-614-395-1993

YOUTUBE VIDEO WALKTHROUGH LINK!
https://youtu.be/R50x6MpP0X0",$250,$0,$0,$0,Yes,Yes,Yes,Yes,No,No,No,Phil Crawford,614-395-1993
2157 Indianola Avenue,https://offcampus.osu.edu/search-housing.aspx?property=10124&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/016-25-27-e-patterson-ave016-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2157-front-roomedited-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2157-kitedited-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2157-livedited-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2157living-roomedited-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/2157-new-image-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8370-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8377-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/img-8372-big.jpg']",0000278C,"$600.00 - $1,500.00",08-01-2026,07-30-2027,12 months,No,No,$600,S&G Properties,Half Double,University District: Northeast,Ground Level,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry facilities in the unit,Yes,0,No,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"Large house, hardwood floors, Dishwasher, full basement, Washer and Dryer
call me 614-395-2576",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1522 Indianola Road Unit C,https://offcampus.osu.edu/search-housing.aspx?property=15117&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/kitchen-283-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/1522-bedroom-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bathroom-104-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/half-bath-14-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/livingroom-33-big.jpg']",00003B0D,"$600.00 - $1,800.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1800,"Locations, Ltd",Apartment,University District: Southeast,Ground Level,"Columbus, OH",3,"1 full, 1 half",3,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"Copy link for more info:
https://www.osulive.com/listings/detail/7fdecfad-c4b5-4acb-80fb-2ee3d1868b07",$0,$0,$0,$0,No,No,No,No,No,No,No,,
2121 Iuka Road Unit D,https://offcampus.osu.edu/search-housing.aspx?property=15016&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/2121-iuka-summer-2-big.jpg'],00003AA8,"$600.00 - $1,200.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1200,"Locations, Ltd",Apartment,University District: Central,Ground Level,"Columbus, OH",2,"1 full, 0 half",2,No,No,None,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
2121 Iuka Road Unit E,https://offcampus.osu.edu/search-housing.aspx?property=15017&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/2121-iuka-big.jpg'],00003AA9,"$600.00 - $1,200.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",Yes,Yes,$1200,"Locations, Ltd",Apartment,University District: Central,Ground Level,"Columbus, OH",2,"1 full, 0 half",2,No,No,None,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"SPRING 2025 MOVE IN AVAILABLE

Copy link for more info:
https://www.osulive.com/listings/detail/58eb6a9f-b4b6-4dd4-840c-e117adb6391d
Available Now",$0,$0,$0,$0,No,No,No,No,No,No,No,,
2549 Neil Avenue,https://offcampus.osu.edu/search-housing.aspx?property=14954&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/2547-2549-neil-avenue-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/livingroom-29-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/kitchen-275-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bathroon-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/basement-15-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/laundry-34-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bedroom-1-27-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/bedroom-2-41-big.jpg']",00003A6A,"$600.00 - $1,800.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1800,"Locations, Ltd",Duplex/Town House,University District: Northwest,Ground Level,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,No,None,Yes,Yes,Yes,No,No,No,"Copy link for more info:
https://www.osulive.com/listings/detail/505870af-14ee-4932-a22b-c5385dba83ed",$0,$0,$0,$0,No,No,No,No,No,No,No,,
64 West Northwood Road Unit D,https://offcampus.osu.edu/search-housing.aspx?property=14982&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/dsc02626-big.jpg'],00003A86,"$600.00 - $2,400.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",Yes,Yes,$2400,"Locations, Ltd",Apartment,University District: Northwest,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"SPRING 2025 MOVE IN AVAILABLE 

https://www.osulive.com/listings/detail/b6b8f265-f049-48aa-8b38-c1ddcd927bbb",$0,$0,$0,$0,No,No,No,No,No,No,No,,
220 East Norwich Road,https://offcampus.osu.edu/search-housing.aspx?property=14997&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/dsc02428-big.jpg'],00003A95,"$600.00 - $3,000.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$3000,"Locations, Ltd",Half Double,University District: Southeast,Ground Level,"Columbus, OH",5,"2 full, 0 half",5,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"COPY Link for more info:
https://www.osulive.com/listings/detail/2199464f-7c65-437d-aec4-13acb372758a",$0,$0,$0,$0,No,No,No,No,No,No,No,,
32 West Patterson Road,https://offcampus.osu.edu/search-housing.aspx?property=14956&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/32-38wpatterson-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dsc02632-big.jpg']",00003A6C,"$600.00 - $1,800.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1800,"Locations, Ltd",Apartment,University District: Northwest,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry Hookup,Yes,1,No,n/a,n/a,Yes,No,No,n/a,n/a,No,No,None,Yes,Yes,Yes,No,Yes,Yes,https://www.osulive.com/listings/detail/2cfcd02a-d66d-4df2-9eae-08e10e7cd768,$0,$0,$0,$0,No,No,No,No,No,No,No,,
36 West Patterson Road,https://offcampus.osu.edu/search-housing.aspx?property=14958&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/32-38wpatterson-1-big.jpg'],00003A6E,"$600.00 - $1,800.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1800,"Locations, Ltd",Apartment,University District: Northwest,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry Hookup,Yes,1,Yes,n/a,$450,Yes,No,No,n/a,n/a,No,No,None,Yes,Yes,Yes,No,No,Yes,"WEBSITE for pictures and showings:
https://www.osulive.com/listings/detail/64b86e0a-0c50-4675-982a-51decda0e224",$0,$0,$0,$0,No,No,No,No,No,No,No,,
38 West Patterson Road,https://offcampus.osu.edu/search-housing.aspx?property=14959&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/dsc02632-1-big.jpg'],00003A6F,"$600.00 - $1,800.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$1800,"Locations, Ltd",Apartment,University District: Northwest,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,Yes,Laundry Hookup,Yes,1,No,n/a,n/a,Yes,No,No,n/a,n/a,No,No,None,Yes,Yes,Yes,No,No,Yes,"WEBSITE for more information:
https://www.osulive.com/listings/detail/64b86e0a-0c50-4675-982a-51decda0e224",$0,$0,$0,$0,No,No,No,No,No,No,No,,
2547 Neil Avenue,https://offcampus.osu.edu/search-housing.aspx?property=14953&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/2547-2549-neil-big.jpg'],00003A69,"$600.00 - $1,200.00",8-11-2025,7-11-2026,12 Months,No,Yes,$1200,"Locations, Ltd",Duplex/Town House,University District: Northwest,Ground Level,"Columbus, OH",2,"1 full, 0 half",2,No,Yes,Laundry Hookup,Yes,2,Yes,n/a,$440,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"Copy link for more info:
https://www.osulive.com/listings/detail/505870af-14ee-4932-a22b-c5385dba83ed",$0,$0,$0,$0,No,No,No,No,No,No,No,,
100 Woodruff Road,https://offcampus.osu.edu/search-housing.aspx?property=15011&pricefrom=0&sort=1&alllandlords=0,['https://offcampus.osu.edu/posts/vendors/properties/98-100-450x600-big.jpg'],00003AA3,"$600.00 - $3,600.00",8/24/2025,07/26/2026,8/24/25 - 7/26/26,No,Yes,$3600,"Locations, Ltd",House,University District: Northwest,Ground Level,"Columbus, OH",6,"2 full, 1 half",6,No,No,Laundry Hookup,Yes,3,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,No,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
491 Alden Avenue F (Sublet),https://offcampus.osu.edu/search-housing.aspx?property=16244&pricefrom=0&sort=1&alllandlords=0&sublet=true,['https://offcampus.osu.edu/posts/vendors/properties/196-2-big.jpg'],00003F74,$850.00,5/8/2026,8/10/2026,12 months,No,Yes,$600,Inn-Town Homes and Apartments,Apartment,University District: Northeast,Ground Level,"Columbus, OH",1,"1 full, 0 half",2,No,No,Laundry facilities in the building,Yes,1,Yes,n/a,$100,No,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,,$0,$0,$0,$0,No,No,No,No,Yes,No,No,,
67 Chittenden Avenue Unit C,https://offcampus.osu.edu/search-housing.aspx?property=12274&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/67ch-1-1-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1307-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1305-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1292-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/dscn1304-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/67ch-c10241024-1-big.jpg']",00002FF2,"$610.00 - $1,830.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$1830,Cooper Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",3,"1 full, 0 half",3,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,No,No,"Great location right off High Street. Free washer and dryer, central heat and air conditioning, free off street parking (2 spots).  Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 67 E Chittenden Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/67-e-chittenden-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
"1150 Kinnear RdLeasing officeColumbus, OH 43212",https://offcampus.osu.edu/search-housing.aspx?property=21195&pricefrom=0&sort=1&alllandlords=0&sublet=true,[],000052CB,"$1,200.00",2/1/2026,7/24/2026,"Annual, Academic,Fall, and Spring",Yes,Yes,$2 months rent (Not towards rent),Altitude Columbus,Apartment,Other,Ground Level,"Columbus6, OH",4,"1 full, 0 half",166,Yes,No,Laundry facilities in the unit,Yes,428,Yes,n/a,n/a,No,,Yes,$40,n/a,Yes,No,Central A/C,Yes,Yes,Yes,Yes,Yes,No,"TV Lounge
Computer Lab & Study Center
24-Hour Fitness Center
Sparkling Pool & Hot Tub
Outdoor Grilling Stations
Sand Volleyball Court",$300,$15,$0,$0,Yes,Yes,Yes,No,Yes,No,Yes,Dylan Kuberny,614-298-5800
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=19566&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-2-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-4-9-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-3-6-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-6-9-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-8-10-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-10-7-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-11-9-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-23-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/227dsa-4319-5-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robb-mccormick-photography-3-of-15-5-big.jpg']",00004C6E,"$647.00 - $1,295.00",8/15/2026,07/31/2027,One Year,No,Yes,$One Month Rent,Venice Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,None,Yes,2,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,No,Yes,"**To view a virtual tour of this home please visit https://youriguide.com/1669N4th2BR

1669 N 4th Street is a two-bedroom, two story, town home that features a spacious living room area that can comfortably host several residents and guests! The kitchen is absolutely HUGE for two residents, offers ample cabinet space, and comes with all appliances (including garbage disposal), and even has a large walk-in pantry area for extensive storage. Both upstairs bedrooms have walk in closets and more than enough space to make a great home for students and working professionals alike! Lastly, there is a large off street parking lot, and the location is only one block away from the Columbus Police Campus Substation and a CABS/COTA bus stop.

To view a virtual tour of this home please visit https://youtu.be/oGdihPRv6_M",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=19564&pricefrom=0&sort=1&alllandlords=0,"['https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-2-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-4-6-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-3-4-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-6-7-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-4-7-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-8-8-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-11-7-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robbmccormickphotography-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/227dsa-4319-3-big.jpg', 'https://offcampus.osu.edu/posts/vendors/properties/robb-mccormick-photography-3-of-15-3-big.jpg']",00004C6C,"$647.00 - $1,295.00",8/15/2026,07/31/2027,One Year,No,No,$One Month Rent,Venice Properties,Apartment,University District: Southeast,Above Ground,"Columbus, OH",2,"1 full, 0 half",3,No,No,None,Yes,2,Yes,n/a,$200,Yes,,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,No,Yes,"**To view a virtual tour of this home please visit https://youriguide.com/1669N4th2BR

1669 N 4th Street is a two-bedroom, two story, town home that features a spacious living room area that can comfortably host several residents and guests! The kitchen is absolutely HUGE for two residents, offers ample cabinet space, and comes with all appliances (including garbage disposal), and even has a large walk-in pantry area for extensive storage. Both upstairs bedrooms have walk in closets and more than enough space to make a great home for students and working professionals alike! Lastly, there is a large off street parking lot, and the location is only one block away from the Columbus Police Campus Substation and a CABS/COTA bus stop.

To view a virtual tour of this home please visit https://youtu.be/oGdihPRv6_M",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
