Address,Detail_URL,ID,Monthly Rent,Move In Date,Move Out Date,Lease Term,Short Lease Term,Sublease Permitted,Security Deposit,Property Owner,Property Type,"Location
                                            Sector",Level,City,Bedrooms,Bathrooms,Max Occupancy,Wheel Chair Access,Basement,Laundry,Parking,Number of Parking Spaces,Off-street Parking,Off-street Monthly,Off-street Yearly,On-street Parking,On-street Permit Required,Garage Parking,Garage Monthly,Garage Yearly,Furnished,Fireplace,Air Conditioning,Dishwasher,Stove,Refrigerator,Security System,Backyard,Deck Or Porch,Other Amenities,Pet Deposit,Additional Pet Rent,Additional Dog Rent,Additional Cat Rent,Pets Allowed,Dogs Allowed,Cats Allowed,Pet Deposit Refundable,Water Included,Electric Included,Gas Included,Name,Phone
174 East Woodruff Avenue,https://offcampus.osu.edu/search-housing.aspx?property=20810&pricefrom=0&sort=1&alllandlords=0,0000514A,$700.00 - $800.00,05-01-2025,05-02-2026,Month to Month,Yes,No,$0,Theta Xi,Rooming House,University District: Northeast,Above Ground,"Columbus, OH",1,"1 full, 1 half",1,No,No,Laundry facilities in the building,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,No,No,Window A/C,No,Yes,Yes,No,No,No,,$0,$00,$00,$00,No,No,No,No,Yes,Yes,Yes,,
88 West Blake Avenue,https://offcampus.osu.edu/search-housing.aspx?property=10215&pricefrom=0&sort=1&alllandlords=0,000027E7,$700.00 - $800.00,negotiable,negotiable,Negotiable,Yes,No,$$700-$1000,Sandy Bolzenius,Room in a Private Home,University District: Northwest,Ground Level,"Columbus, OH",1,"2 full, 0 half",1,No,Yes,Laundry facilities in the unit,Yes,0,No,n/a,n/a,Yes,No,No,n/a,n/a,Yes,Yes,None,No,Yes,Yes,Yes,Yes,Yes,"Great campus location! Beautiful large house just a four-minute walk to a bus stop and a ten minute walk to campus. Near grocery stores, restaurants, and the Olentangy River. Safe and quiet part neighborhood. Friendly and responsible housemates and neighbors. House is well-maintained, includes washer and dryer, energy efficient windows, full-house insulation, efficiency furnace, and more. Hundreds of international scholars (including me) have worked on and completed theses, dissertations, research projects, and post-docs in this house. In short, this is a great place to live and to study.",$N/A,$0,$0,$0,No,No,No,No,No,No,No,,
50 East 11th Street Unit D,https://offcampus.osu.edu/search-housing.aspx?property=15112&pricefrom=0&sort=1&alllandlords=0,00003B08,"$700.00 - $2,800.00",8-22-2025,7-31-2026,12 Months,Yes,Yes,$2800,"Locations, Ltd",Apartment,University District: Southeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,1,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"SPRING 2025 MOVE IN AVAILABLE
https://www.osulive.com/listings/detail/a9c69c37-57a1-43a3-ab15-f7a2a1eee53e",$0,$0,$0,$0,No,No,No,No,No,No,No,,
50 East 11th Street Unit C,https://offcampus.osu.edu/search-housing.aspx?property=15111&pricefrom=0&sort=1&alllandlords=0,00003B07,"$700.00 - $2,800.00",8-22-2025,7-31-2026,12 Months,No,Yes,$2800,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,1,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,https://www.osulive.com/listings/detail/6d32907e-55fe-4939-894b-34fe984f041c,$0,$0,$0,$0,No,No,No,No,No,No,No,,
50 East 11th Street Unit A,https://offcampus.osu.edu/search-housing.aspx?property=15109&pricefrom=0&sort=1&alllandlords=0,00003B05,"$700.00 - $2,800.00",8-22-2025,7-31-2026,12 Months,Yes,Yes,$2800,"Locations, Ltd",Apartment,University District: Southeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,1,Yes,n/a,$460,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"SPRING 2025 MOVE IN AVAILABLE

Patio entry into living area, breakfast bar, Washer & Dryer hookup.",$0,$0,$0,$0,No,No,No,No,No,No,No,,
2163 East Indianola Road Unit C,https://offcampus.osu.edu/search-housing.aspx?property=15001&pricefrom=0&sort=1&alllandlords=0,00003A99,"$700.00 - $2,800.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$2800,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
2169 Indianola Road Unit B,https://offcampus.osu.edu/search-housing.aspx?property=15004&pricefrom=0&sort=1&alllandlords=0,00003A9C,"$700.00 - $2,800.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$2800,"Locations, Ltd",Apartment,University District: Northwest,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"Copy link for more info:
https://www.osulive.com/listings/detail/5260a52c-b1b3-4825-ab12-8d4daee3ce11",$0,$0,$0,$0,No,No,No,No,No,No,No,,
2169 Indianola Road Unit A,https://offcampus.osu.edu/search-housing.aspx?property=15003&pricefrom=0&sort=1&alllandlords=0,00003A9B,"$700.00 - $2,800.00",8-24-2025,7-26-2026,12 Months,No,Yes,$2800,"Locations, Ltd",Apartment,University District: Northwest,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
2169 Indianola Road Unit C,https://offcampus.osu.edu/search-housing.aspx?property=15005&pricefrom=0&sort=1&alllandlords=0,00003A9D,"$700.00 - $2,800.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",Yes,Yes,$2800,"Locations, Ltd",Apartment,University District: Northwest,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"SPRING 2025 MOVE IN AVAILABLE

Copy link for more info:
https://www.osulive.com/listings/detail/75274067-022f-4176-9dc6-7a12db4c7ce0#",$0,$0,$0,$0,No,No,No,No,No,No,No,,
100 West Norwich Road,https://offcampus.osu.edu/search-housing.aspx?property=14983&pricefrom=0&sort=1&alllandlords=0,00003A87,"$700.00 - $2,100.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$2100,"Locations, Ltd",House,University District: Northwest,Ground Level,"Columbus, OH",3,"2 full, 0 half",3,No,Yes,Laundry Hookup,Yes,1,Yes,n/a,$380,Yes,No,No,n/a,n/a,No,No,None,Yes,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
50 East 11th Street Unit F,https://offcampus.osu.edu/search-housing.aspx?property=15114&pricefrom=0&sort=1&alllandlords=0,00003B0A,"$700.00 - $2,800.00",8-24-2025,7-26-2026,12 Months,Yes,Yes,$2800,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,1,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
50 East 11th Street Unit E,https://offcampus.osu.edu/search-housing.aspx?property=15113&pricefrom=0&sort=1&alllandlords=0,00003B09,"$700.00 - $2,800.00",8-24-2025,7-26-2026,12 Months,No,Yes,$2800,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,1,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
64 West Northwood Road Unit A,https://offcampus.osu.edu/search-housing.aspx?property=14979&pricefrom=0&sort=1&alllandlords=0,00003A83,"$700.00 - $2,800.00",8-24-2025,7-26-2026,"August 24,2025 - July 26,2026",No,Yes,$2800,"Locations, Ltd",Apartment,University District: Northwest,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,Yes,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"WEBSITE for more pictures and showing:

https://www.osulive.com/listings/detail/bd3b0155-6415-4591-81d6-965732afaa0e

ALSO AVAILABLE FOR MOVE-IN NOW",$0,$0,$0,$0,No,No,No,No,No,No,No,,
62 West Oakland Road,https://offcampus.osu.edu/search-housing.aspx?property=14961&pricefrom=0&sort=1&alllandlords=0,00003A71,"$700.00 - $2,100.00",8-24-2025,7-26-2026,12 Months,No,Yes,$2100,"Locations, Ltd",House,University District: Northwest,Ground Level,"Columbus, OH",3,"1 full, 0 half",3,No,Yes,Laundry Hookup,Yes,3,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
95 West Patterson Road,https://offcampus.osu.edu/search-housing.aspx?property=14960&pricefrom=0&sort=1&alllandlords=0,00003A70,"$700.00 - $4,200.00",8-24-2025,7-26-2026,12 Months,No,Yes,$4200,"Locations, Ltd",House,University District: Northwest,Ground Level,"Columbus, OH",5,"1 full, 1 half",5,No,Yes,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,Yes,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
98 Woodruff Avenue,https://offcampus.osu.edu/search-housing.aspx?property=15010&pricefrom=0&sort=1&alllandlords=0,00003AA2,"$700.00 - $3,500.00",12/16/2024,7/26/25,8/19/24 - 7/26/25,Yes,Yes,$3500,"Locations, Ltd",House,University District: Northwest,Ground Level,"Columbus, OH",5,"2 full, 1 half",5,No,No,Laundry Hookup,Yes,2,Yes,n/a,$440,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,No,"SPRING 2025 MOVE IN AVAILABLE

COPY Link for more info:
https://www.osulive.com/listings/detail/1ceee676-57f8-4679-bb3b-efae6c631c8c",$0,$0,$0,$0,No,No,No,No,No,No,No,,
180 East 12th Avenue Unit A,https://offcampus.osu.edu/search-housing.aspx?property=12262&pricefrom=0&sort=1&alllandlords=0,00002FE6,"$705.00 - $2,820.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$2820,Cooper Properties,Apartment,University District: Southeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"4 bedroom unit with extra large living room, fully renovated kitchen with new appliances, built in microwave, tile back splash, dishwasher, free washer & dryer in the unit, newly installed energy efficient central air and free off-street parking (2 spots). Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 180 E 12th Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/180-e-12th-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
100 East 13th Avenue Unit C,https://offcampus.osu.edu/search-housing.aspx?property=12673&pricefrom=0&sort=1&alllandlords=0,00003181,"$715.00 - $3,575.00",8/20/26,8/5/27,12 Months,No,Yes,$3575,Buckeye Real Estate,Duplex/Town House,University District: Central,Above Ground,"Columbus, OH",5,"2 full, 0 half",6,No,No,Laundry facilities in the unit,Yes,1,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"Great central campus location near Indianola! Five bedroom, two bath townhouse with fully equipped kitchen (including dishwasher and microhood), washer/dryer, central air. Off Street parking available.",$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
1377 Forsythe Avenue Unit 8,https://offcampus.osu.edu/search-housing.aspx?property=15767&pricefrom=0&sort=1&alllandlords=0,00003D97,$725.00 - $795.00,06-01-2026,07-31-2027,0,No,No,$months rent,C.E. Investments,Apartment,University District: Southeast,Ground Level,"Columbus, OH",1,"1 full, 0 half",2,No,No,None,Yes,1,Yes,$Free,$FREE,Yes,No,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,No,Yes,"Free lighted parking.
Laundry (Half Block Away)",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1377 Forsythe Avenue Units 1-10,https://offcampus.osu.edu/search-housing.aspx?property=8264&pricefrom=0&sort=1&alllandlords=0,00002048,$725.00 - $795.00,12-01-2025,07-31-2027,12 months,No,No,$One months rent,C.E. Investments,Apartment,University District: Southeast,Ground Level,"Columbus, OH",1,"1 full, 0 half",2,No,No,None,Yes,1,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,Yes,Yes,Talk with current residents privately for reviews on landlord- we will take the best care of you throughout your residency!  Quiet grad building ! Great location to medical school and hospital.,$0,$0,$0,$0,No,No,No,No,No,No,No,,
144 West 9th Avenue Unit 4,https://offcampus.osu.edu/search-housing.aspx?property=7505&pricefrom=0&sort=1&alllandlords=0,00001D51,$729.00,08-19-2026,07-31-2027,12 months,No,No,$729,Hometeam,Studio/Efficiency,University District: Southwest,Above Ground,"Columbus, OH",1,"1 full, 0 half",2,No,No,None,Yes,0,Yes,$Ask us about our pricing,n/a,Yes,No,No,n/a,n/a,No,No,Window A/C,No,Yes,Yes,No,No,No,,$0,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
144 West 9th Avenue Unit 3,https://offcampus.osu.edu/search-housing.aspx?property=7503&pricefrom=0&sort=1&alllandlords=0,00001D4F,$729.00,08-19-2026,07-31-2027,12 month,No,No,$729,Hometeam,Studio/Efficiency,University District: Southwest,Ground Level,"Columbus, OH",1,"1 full, 0 half",2,No,No,None,Yes,0,Yes,$Ask us about our pricing,n/a,Yes,No,No,n/a,n/a,No,No,Window A/C,No,Yes,Yes,No,No,No,,$0,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
2157 Waldeck Avenue,https://offcampus.osu.edu/search-housing.aspx?property=12267&pricefrom=0&sort=1&alllandlords=0,00002FEB,"$730.00 - $2,920.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$2920,Cooper Properties,Half Double,University District: Northeast,Ground Level,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry facilities in the unit,Yes,4,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Great house in an excellent Location.  Complete renovation, new kitchen, two new full bathrooms, dishwasher, washer/dryer, central air Conditioning, porch, free off street parking. Video tours of all our properties are available at https://cooper-properties.com/.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 2157 Waldeck Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/2157-waldeck-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=19333&pricefrom=0&sort=1&alllandlords=0,00004B85,"$732.00 - $2,195.00",8/15/26,07/31/2027,12 Months,No,Yes,$One Month Rent,Venice Properties,Duplex/Town House,University District: Northeast,Above Ground,"Columbus, OH",3,"2 full, 0 half",4,No,Yes,Laundry Hookup,Yes,3,Yes,n/a,$200,Yes,,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"2181 Indiana Avenue is a beautiful 3 bedroom, 2 bathroom duplex that has gone through an extensive renovation. The kitchen has new cabinets, granite counter tops, matching slate appliances and enough cooking area for a future chef!The first floor bathroom has been completely remodeled as well. With central A / C, off street parking, huge bedrooms, and a great location, 2181 Indiana is a great spot for any college student!

To view a virtual tour of this home please visit https://youtu.be/b7n9OxZhIic",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
339-B Chittenden Avenue Unit B,https://offcampus.osu.edu/search-housing.aspx?property=13020&pricefrom=0&sort=1&alllandlords=0,000032DC,$745.00 - $795.00,08-01-2026,07-31-2027,12 months,No,No,$Months rent,C.E. Investments,Apartment,University District: Southeast,Above Ground,"Columbus, OH",1,"1 full, 0 half",2,No,Yes,Laundry facilities in the building,Yes,0,No,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Window A/C,Yes,Yes,Yes,No,Yes,Yes,"Recently updated !  Quiet, clean, comfortable and a convenient location !! Laundry in basement as well as a secure private storage unit for each unit !",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1478 Michigan Avenue,https://offcampus.osu.edu/search-housing.aspx?property=21006&pricefrom=0&sort=1&alllandlords=0,0000520E,"$745.00 - $2,235.00",08/20/26,08/5/27,50 weeks,No,No,$2235,Buckeye Real Estate,Duplex/Town House,University District: Northeast,Ground Level,"Columbus, OH",3,"1 full, 0 half",4,No,Yes,Laundry facilities in the unit,Yes,2,Yes,n/a,n/a,No,,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,"Located near 8th Avenue, this spacious three bedroom, one bath townhouse offers a fully equipped kitchen with dishwasher and micro hood.. Unit features central air and washer/dryer. Off street parking is available!",$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
31 East 12th Avenue Unit 1A,https://offcampus.osu.edu/search-housing.aspx?property=13654&pricefrom=0&sort=1&alllandlords=0,00003556,"$745.00 - $2,235.00",8/20/2026,8/5/2027,50 Weeks,No,Yes,$2289,Buckeye Real Estate,Apartment,University District: Southeast,Below Ground,"Columbus, OH",3,"1 full, 0 half",4,No,No,Laundry facilities in the building,Yes,2,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,No,"Visit this link for Early Rental Options! https://www.buckeyerealestate.com/updates/

Located on 12th and Pearl, this three bedroom, one bath remodeled flat features fully equipped kitchen including dishwasher and microhood. Also has central air, on-site coin operated laundry, and available off street parking!

Unit residents may purchase two permits

View our Leasing Procedure and a copy of our Lease Agreement at BuckeyeRealEstate.com > Future Residents > FAQs/Documents

https://my.matterport.com/show/?m=zhf9WynhaZF",$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
204 East 14th Avenue Unit- 2B,https://offcampus.osu.edu/search-housing.aspx?property=14214&pricefrom=0&sort=1&alllandlords=0,00003786,"$748.00 - $2,990.00",08/20/26,08/05/27,12 Months,No,Yes,$2940,Buckeye Real Estate,Apartment,University District: Central,Above Ground,"COLUMBUS, OH",4,"1 full, 1 half",5,No,No,None,Yes,2,Yes,n/a,$80,No,No,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,No,Yes,,$250,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
"PO Box 20098Columbus, OH 43220",https://offcampus.osu.edu/search-housing.aspx?property=18812&pricefrom=0&sort=1&alllandlords=0,0000497C,"$750.00 - $4,200.00",8/15/2026,07/31/2027,12 Months,No,Yes,$One Month Rent,Venice Properties,House,University District: Northeast,Above Ground,"Columbus, OH",7,"2 full, 0 half",7,No,Yes,Laundry Hookup,Yes,1,No,n/a,n/a,Yes,,Yes,$50,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"NEW PRICE  55 East Oakland Avenue is a 7 bedroom 2 bathroom expansive home just a half block off of High Street! Custom hardwood flooring leads directly to a spacious living room with beautiful bay window, while a large kitchen with plenty of cooking and cabinet space offers a gas stove, stainless steel dishwasher, and a brand new refrigerator. Every bedroom is very spacious including an enormous loft bedroom on the 3rd floor! This home features A/C, washer and dryer hookups, custom built in book shelves and cabinets, and even includes the biggest back yard we own and a one car garage. Lastly, we have installed brand new granite counter tops in the kitchen and refinished the hardwood floors on the 2nd and 3rd floor, this is one of the nicest homes on campus!

To view a virtual tour of this home please visit https://youtu.be/7hJtYoVjbWI",$N/A,$0,$0,$0,No,No,No,No,No,No,No,Anna Dauer,614-226-6841
"2104 Tuller StreetColumbus, OH 43201",https://offcampus.osu.edu/search-housing.aspx?property=22017&pricefrom=0&sort=1&alllandlords=0&sublet=true,00005601,$800.00,5/6/2026,8/2/2026,Flexible,No,Yes,$0-100,Inn-Town Homes and Apartments,Studio/Efficiency,University District: Northeast,Above Ground,"Columbus, OH",1,"1 full, 0 half",1,No,No,Laundry facilities in the building,Yes,0,Yes,n/a,n/a,Yes,,Yes,n/a,n/a,Yes,No,Central A/C,No,No,Yes,No,No,No,"Fitness Room, Floor Kitchen Area",$0,$0,$0,$0,No,No,No,No,Yes,Yes,Yes,Jill Kaikis,614-294-1684
76 West Blake  Avenue,https://offcampus.osu.edu/search-housing.aspx?property=17996&pricefrom=0&sort=1&alllandlords=0,0000464C,$750.00 - $800.00,01-09-2026,06-30-2026,negotiable,Yes,No,$$1000,Sandy Bolzenius,Half Double,University District: Northwest,Ground Level,"Columbus , OH",1,"1 full, 0 half",1,No,No,Laundry facilities in the building,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,Yes,Yes,Central A/C,No,Yes,Yes,Yes,Yes,Yes,"Location in a quiet neighborhood near campus. No car needed!

This is a community for international advanced scholars. I have been welcoming international advanced scholars for twenty-five years. If available, which I usually am, I offer airport pick-up. This is a friendly and welcoming place to live and study in a location that can't be beat!",$n/a,$0,$0,$0,No,No,No,Yes,No,No,No,,
78 West Blake Avenue,https://offcampus.osu.edu/search-housing.aspx?property=18155&pricefrom=0&sort=1&alllandlords=0,000046EB,$750.00 - $800.00,01-10-2026,06-30-2026,flexible,Yes,No,$$600-$1000,Sandy Bolzenius,Half Double,University District: Northwest,Above Ground,"Columbus, OH",1,"1 full, 0 half",1,No,Yes,Laundry facilities in the building,Yes,0,No,n/a,n/a,Yes,,No,n/a,n/a,Yes,No,Central A/C,No,Yes,Yes,Yes,Yes,Yes,"For twenty-five years, I have been welcoming serious scholars in our little international community. This is a quiet and friendly home where over the years residents have completed papers, dissertations, degrees, and various other academic programs. I have just four units, and each one is safe, comfortable, and affordable. 
 
I also offer free pick-up from airport if available (usually the case). 

NOTE: If you don't receive a response from your email, please call/text me at 614-843-6170.",$n/a,$0,$0,$0,No,No,No,No,No,No,No,,
30 East Lane Avenue Unit 102A,https://offcampus.osu.edu/search-housing.aspx?property=17635&pricefrom=0&sort=1&alllandlords=0,000044E3,$750.00,08/16/2026,08/06/2027,356 Days,No,Yes,$750,Pella Company,Studio/Efficiency,University District: Northeast,Ground Level,"Columbus, OH",1,"1 full, 0 half",2,No,No,Laundry facilities in the building,Yes,1,Yes,n/a,$100,No,,No,n/a,n/a,No,No,Central A/C,No,Yes,Yes,No,No,No,,$0,$0,$0,$0,No,No,No,No,Yes,No,No,,
131-133 East Norwich Avenue,https://offcampus.osu.edu/search-housing.aspx?property=12250&pricefrom=0&sort=1&alllandlords=0,00002FDA,"$750.00 - $3,000.00",08-23-2026,08-05-2027,12 Mo.,No,Yes,$3000,Cooper Properties,Half Double,University District: Northeast,Above Ground,"Columbus, OH",4,"1 full, 0 half",4,No,Yes,Laundry facilities in the unit,Yes,4,Yes,n/a,n/a,Yes,Yes,No,n/a,n/a,No,No,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"Great house on a great street, big kitchen, large living/dining room, dishwasher, washer/dryer, central air conditioning, hardwood floors, basement, porch, front and back yard, free off street parking. Video tours of all our properties are available at www.cooper-properties.com.  For more information please email manager@cooper-properties.com or call (614) 961-0056.

Explore Our Property at 131-133 E. Norwich Ave - Follow the Link below to Check it Out: 
https://cooper-properties.com/properties/131-133-e-norwich-ave/",$0,$0,$0,$0,No,No,No,No,No,No,No,,
2163 East Indianola Road Unit B,https://offcampus.osu.edu/search-housing.aspx?property=15000&pricefrom=0&sort=1&alllandlords=0,00003A98,"$750.00 - $3,000.00",8/22/2025,7/31/2026,"August 22, 2025- July 31, 2026",No,Yes,$3000,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,https://www.osulive.com/listings/detail/5adcea17-c14f-4e0f-bc56-d86b00b8319c,$0,$0,$0,$0,No,No,No,No,No,No,No,,
2132 Indianola Road,https://offcampus.osu.edu/search-housing.aspx?property=15007&pricefrom=0&sort=1&alllandlords=0,00003A9F,"$750.00 - $3,750.00",8-24-2025,7-26-2026,12 Months,Yes,Yes,$3750,"Locations, Ltd",House,University District: Central,Ground Level,"Columbus, OH",5,"2 full, 0 half",5,No,Yes,Laundry Hookup,Yes,5,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,Yes,Yes,"Newly remodeled new flooring, new upstairs bathroom, new kitchen. 

Copy link for more info:
https://www.osulive.com/listings/detail/25492654-21fb-415f-a548-d8ab249b0955",$0,$0,$0,$0,No,No,No,No,No,No,No,,
2169 Indianola Road Unit D,https://offcampus.osu.edu/search-housing.aspx?property=15006&pricefrom=0&sort=1&alllandlords=0,00003A9E,"$750.00 - $3,000.00",8-24-2025,7-26-2026,12 Months,No,Yes,$3000,"Locations, Ltd",Apartment,University District: Northwest,Above Ground,"Columbus, OH",4,"2 full, 0 half",0,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,n/a,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,,$0,$0,$0,$0,No,No,No,No,No,No,No,,
2163 East Indianola Road Unit D,https://offcampus.osu.edu/search-housing.aspx?property=15002&pricefrom=0&sort=1&alllandlords=0,00003A9A,"$750.00 - $3,000.00",8-24-2025,7-26-2026,12 Months,No,Yes,$3000,"Locations, Ltd",Apartment,University District: Southeast,Above Ground,"Columbus, OH",4,"2 full, 0 half",4,No,No,Laundry Hookup,Yes,2,Yes,n/a,$475,Yes,No,No,n/a,$380,No,Yes,Central A/C,Yes,Yes,Yes,No,No,Yes,"Copy link for more info:
https://www.osulive.com/listings/detail/48ebf3a1-44a6-4b5f-8c4d-ddea4141c76d",$0,$0,$0,$0,No,No,No,No,No,No,No,,
1628 Indianola Avenue Unit 1628,https://offcampus.osu.edu/search-housing.aspx?property=8067&pricefrom=0&sort=1&alllandlords=0,00001F83,$755.00 - $879.00,08-19-2026,07-31-2027,12 months,No,No,$799-879,Hometeam,Apartment,University District: Southeast,Above Ground,"Columbus, OH",1,"1 full, 0 half",2,No,No,Laundry facilities in the building,Yes,1,Yes,$Ask us about our pricing,n/a,Yes,Yes,No,n/a,n/a,No,No,Window A/C,No,Yes,Yes,No,No,No,,$0,$0,$0,$0,Yes,Yes,Yes,No,No,No,No,,
40  East 18th Avenue,https://offcampus.osu.edu/search-housing.aspx?property=14039&pricefrom=0&sort=1&alllandlords=0,000036D7,"$755.00 - $2,265.00",8/20/26,8/5/27,12 Months,No,Yes,$2265,Buckeye Real Estate,Half Double,University District: Central,Above Ground,"Columbus, OH",3,"1 full, 0 half",4,No,No,None,Yes,2,Yes,n/a,n/a,Yes,No,No,n/a,n/a,No,No,None,No,Yes,Yes,No,No,Yes,,$250,$0,$0,$0,Yes,Yes,Yes,No,Yes,Yes,No,,
